Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Nissan,2018,X-Trail,SUV,2018 Nissan X-Trail ST (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,94160,- / -,"Morningside, QLD",4 cyl,SUV, 4 Doors, 5 Seats,24490
Ssangyong,2021,Musso,Ute / Tray,2021 Ssangyong Musso Ultimate,USED,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,28786,White / -,"Hallam, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,36656
Toyota,2018,RAV4,SUV,2018 Toyota RAV4 GXL (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,96687,Blue / Black,"HEIDELBERG, VIC",4 cyl,SUV, 4 Doors, 5 Seats,34888
Audi,2015,Q3,SUV,2015 Audi Q3 1.4 Tfsi (110KW),USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,107519,Black / -,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 5 Seats,20995
Hyundai,2014,Veloster,M1 Used Cars,2014 Hyundai Veloster + 15 Months Warranty,USED,Automatic,-,Other,Unleaded,-,126185,Black / -,"Slacks Creek, QLD",-,Coupe,,,16990
Kia,2006,K2700,Commercial,2006 Kia K2700,USED,Manual,"4 cyl, 2.7 L",Rear,Diesel,9.3 L / 100 km,378604,White / Grey  Cloth,"Campbellfield, VIC",4 cyl,Commercial, 2 Doors, 3 Seats,7999
Lexus,2004,SC430,Convertible,2004 Lexus SC430,USED,Automatic,"8 cyl, 4.3 L",Rear,Premium,12 L / 100 km,44329,Blue / Beige,"Nunawading, VIC",8 cyl,Convertible, 2 Doors, 4 Seats,51990
Mitsubishi,2015,Outlander,SUV,2015 Mitsubishi Outlander LS (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,232780,Silver / -,"Labrador, QLD",4 cyl,SUV, 4 Doors, 5 Seats,14999
Ford,2012,Falcon,Sedan,2012 Ford Falcon XR6 Limited Edition,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,9.9 L / 100 km,259765,Silver / -,"Rocklea, QLD",6 cyl,Sedan, 4 Doors, 5 Seats,12999
Hyundai,2020,Kona,SUV,2020 Hyundai Kona Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,54492,White / Cloth,"Robina, QLD",4 cyl,SUV, 4 Doors, 5 Seats,25490
Ford,2015,Ecosport,SUV,2015 Ford Ecosport Ambiente,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.5 L / 100 km,93000,Black / -,"Thomastown, VIC",4 cyl,SUV, 4 Doors, 5 Seats,14900
